"vendor_id","name","contact_info","address"
"V1","Dairy Delight Distributors","dairydelight@example.com","456 Milk Rd, Brooklyn, NY"
"V2","Global Foods Ltd.","globalfoods@example.com","123 Supply Blvd, Brooklyn, NY"
"V3","Refreshment Depot","refreshment@example.com","456 Chill Ln, Brooklyn, NY"
"V4","Fresh Catch Seafood","freshcatch@example.com","789 Fisherman Rd, Bronx, NY"
"V5","Organic Grocers Ltd.","organicgrocers@example.com","345 Fresh Ave, Staten Island, NY"
"V6","Gourmet Sweets Ltd.","gourmetsweets@example.com","456 Sweet Ave, Staten Island, NY"
"V7","Happy Snacks Inc.","happysnacks@example.com","789 Bite Ln, Brooklyn, NY"
"V8","Premium Meat Suppliers","premiummeat@example.com","101 Carnivore St, Queens, NY"
"V9","Beverage Hub","beveragehub@example.com","202 Thirsty Dr, Bronx, NY"
"V10","Sweet Treats Co.","sweettreats@example.com","123 Dessert Ave, Manhattan, NY"
"V11","Premium Dairy Inc.","premiumdairy@example.com","456 Creamery Blvd, Staten Island, NY"
"V12","Daily Essentials Co.","dailyessentials@example.com","456 Everyday Blvd, Staten Island, NY"
"V13","Artisan Bakers Co.","artisanbakers@example.com","789 Dough Ln, Manhattan, NY"
"V14","Super Sweets Distributors","supersweets@example.com","123 Candy Rd, Brooklyn, NY"
"V15","National Produce Ltd.","nationalproduce@example.com","678 Farm Rd, Bronx, NY"
"V16","Coffee Corner Supplies","coffee@example.com","123 Espresso Blvd, Bronx, NY"
"V17","Beverage World","bevworld@example.com","123 Refreshment St, Manhattan, NY"
"V18","Natural Wonders Ltd.","naturalwonders@example.com","123 Discovery Blvd, Queens, NY"
"V19","World Organics Inc.","worldorganics@example.com","789 Natural Rd, Bronx, NY"
"V20","Whole World Foods","wholeworld@example.com","123 Planet Rd, Staten Island, NY"
"V21","Snack Time Inc.","snacktime@example.com","123 Crunch St, Manhattan, NY"
"V22","Fresh Produce Inc.","freshproduce@example.com","123 Green St, Queens, NY"
"V23","Seafood World","seafoodworld@example.com","456 Ocean Blvd, Brooklyn, NY"
"V24","Local Farms Network","localfarms@example.com","456 Countryside Blvd, Bronx, NY"
"V25","Bulk Wholesale Distributors","bulkwholesale@example.com","789 Economy Ln, Queens, NY"
"V26","Natural Grocers Co.","naturalgrocers@example.com","789 Organic Blvd, Brooklyn, NY"
"V27","Butcher's Choice Ltd.","butcherschoice@example.com","789 Protein Blvd, Manhattan, NY"
"V28","Frozen Delights","frozendelights@example.com","789 Ice Ln, Queens, NY"
"V29","Healthy Living Organics","healthyliving@example.com","456 Nature Rd, Bronx, NY"
"V30","Beverage Basics","bevbasics@example.com","456 Hydrate Blvd, Queens, NY"
